filename,left_eye_x,left_eye_y,right_eye_x,right_eye_y,mouth_x,mouth_y,left_ear1_x,left_ear1_y,left_ear2_x,left_ear2_y,left_ear3_x,left_ear3_y,right_ear1_x,right_ear1_y,right_ear2_x,right_ear2_y,right_ear3_x,right_ear3_y,height,width
0,0.424,0.32,0.522,0.31733333333333336,0.462,0.416,0.368,0.256,0.36,0.104,0.44,0.18933333333333333,0.514,0.192,0.604,0.10933333333333334,0.596,0.264,375,500
1,0.2880710659898477,0.3515625,0.4949238578680203,0.328125,0.38451776649746194,0.4599609375,0.18401015228426396,0.32421875,0.11802030456852793,0.1376953125,0.30456852791878175,0.2158203125,0.4581218274111675,0.19921875,0.5989847715736041,0.0634765625,0.6586294416243654,0.2685546875,1024,788
2,0.38,0.47002398081534774,0.594,0.592326139088729,0.41,0.6906474820143885,0.32,0.2973621103117506,0.374,0.014388489208633094,0.474,0.2278177458033573,0.732,0.3908872901678657,0.934,0.3597122302158273,0.8,0.5947242206235012,417,500
3,0.34933333333333333,0.326,0.448,0.326,0.37333333333333335,0.416,0.3253333333333333,0.29,0.296,0.164,0.38133333333333336,0.234,0.47733333333333333,0.232,0.5546666666666666,0.142,0.5813333333333334,0.288,500,375
4,0.42058823529411765,0.346,0.47941176470588237,0.346,0.4323529411764706,0.384,0.4117647058823529,0.324,0.40588235294117647,0.268,0.45294117647058824,0.298,0.49117647058823527,0.298,0.5294117647058824,0.264,0.538235294117647,0.324,500,340
5,0.5361328125,0.5703125,0.677734375,0.5703125,0.60546875,0.7135416666666666,0.4033203125,0.4583333333333333,0.3681640625,0.26171875,0.515625,0.3645833333333333,0.6826171875,0.37109375,0.8388671875,0.23958333333333334,0.80859375,0.4765625,768,1024
6,0.48533333333333334,0.232,0.5813333333333334,0.224,0.544,0.286,0.408,0.206,0.39466666666666667,0.118,0.4826666666666667,0.166,0.576,0.158,0.64,0.102,0.648,0.188,500,375
7,0.284,0.6711229946524064,0.328,0.5133689839572193,0.418,0.6417112299465241,0.192,0.7299465240641712,0.06,0.6764705882352942,0.17,0.6096256684491979,0.198,0.4946524064171123,0.124,0.34759358288770054,0.272,0.40641711229946526,374,500
8,0.482,0.5983827493261455,0.59,0.5929919137466307,0.544,0.7358490566037735,0.402,0.49595687331536387,0.392,0.353099730458221,0.478,0.444743935309973,0.57,0.4420485175202156,0.656,0.33423180592991913,0.64,0.48517520215633425,371,500
9,0.38419618528610355,0.564,0.5449591280653951,0.556,0.4713896457765668,0.644,0.2779291553133515,0.532,0.20435967302452315,0.382,0.36239782016348776,0.46,0.5640326975476839,0.45,0.6839237057220708,0.35,0.6757493188010899,0.514,500,367
